codigoestacion,COD_MPIO,NOM_MPIO,NOM_DPTO,LATITUD,LONGITUD,precip_acum_mm,precip_max_10min,n_estaciones,alerta,prop_alertas,categoria,tamaño
0029065000,47675,SALAMINA,MAGDALENA,10.51538178,-74.72296972,0.0,0.0,4,1,0.1151685393258427,Sin lluvia (0 mm),5.0
0029065120,20570,PUEBLO BELLO,CESAR,10.41736874,-73.61450632,7.200000000000001,5.2,4,1,0.2857142857142857,Ligera (5–15 mm),7.293246262337242
0029065120,47053,ARACATACA,MAGDALENA,10.64490877,-73.87972257,7.200000000000001,5.2,4,1,0.2857142857142857,Ligera (5–15 mm),7.293246262337242
0029065120,47288,FUNDACIÓN,MAGDALENA,10.45937818,-73.88406518,7.200000000000001,5.2,4,1,0.2857142857142857,Ligera (5–15 mm),7.293246262337242
0029065130,47570,PUEBLOVIEJO,MAGDALENA,10.84758901,-74.36057942,0.0,0.0,4,1,0.08849557522123894,Sin lluvia (0 mm),5.0
0029065130,47980,ZONA BANANERA,MAGDALENA,10.79634658,-74.17798317,0.0,0.0,4,1,0.08849557522123894,Sin lluvia (0 mm),5.0
0029067060,47030,ALGARROBO,MAGDALENA,10.25356475,-74.10323027,0.0,0.0,5,1,0.05956112852664577,Sin lluvia (0 mm),5.0
0029067060,47660,SABANAS DE SAN ÁNGEL,MAGDALENA,10.10533028,-74.2644392,0.0,0.0,5,1,0.05956112852664577,Sin lluvia (0 mm),5.0
0029067150,47268,EL RETÉN,MAGDALENA,10.65961696,-74.3251597,0.0,0.0,5,1,0.06130268199233716,Sin lluvia (0 mm),5.0
0031095030,94001,INÍRIDA,GUAINÍA,3.516363079,-68.00834728,0.20000000000000004,0.1,6,1,0.16201117318435754,Muy ligera (< 5 mm),5.0
0031095030,94883,SAN FELIPE,GUAINÍA,2.312179782,-67.52060569,0.20000000000000004,0.1,6,1,0.16201117318435754,Muy ligera (< 5 mm),5.0
0031095030,94884,PUERTO COLOMBIA,GUAINÍA,2.582829542,-68.25799033,0.20000000000000004,0.1,6,1,0.16201117318435754,Muy ligera (< 5 mm),5.0
0031095030,94885,LA GUADALUPE,GUAINÍA,1.404540273,-67.001518,0.20000000000000004,0.1,6,1,0.16201117318435754,Muy ligera (< 5 mm),5.0
0031095030,94886,CACAHUAL,GUAINÍA,3.38616245,-67.58507998,0.20000000000000004,0.1,6,1,0.16201117318435754,Muy ligera (< 5 mm),5.0
0032105080,50325,MAPIRIPÁN,META,3.117523361,-71.93805692,0.0,0.0,3,1,0.06976744186046512,Sin lluvia (0 mm),5.0
0032105080,50450,PUERTO CONCORDIA,META,2.752260112,-72.7210941,0.0,0.0,3,1,0.06976744186046512,Sin lluvia (0 mm),5.0
0032105080,50590,PUERTO RICO,META,2.758083657,-73.13780171,0.0,0.0,3,1,0.06976744186046512,Sin lluvia (0 mm),5.0
0032105080,95001,SAN JOSÉ DEL GUAVIARE,GUAVIARE,2.484286091,-71.91916993,0.0,0.0,3,1,0.06976744186046512,Sin lluvia (0 mm),5.0
0032105080,95015,CALAMAR,GUAVIARE,1.613634284,-73.0342639,0.0,0.0,3,1,0.06976744186046512,Sin lluvia (0 mm),5.0
0032105080,95025,EL RETORNO,GUAVIARE,2.143447362,-72.24364869,0.0,0.0,3,1,0.06976744186046512,Sin lluvia (0 mm),5.0
0032105080,95200,MIRAFLORES,GUAVIARE,1.363974932,-72.01810951,0.0,0.0,3,1,0.06976744186046512,Sin lluvia (0 mm),5.0
0033035010,50568,PUERTO GAITÁN,META,4.005034467,-71.63157429,0.0,0.0,6,1,0.3333333333333333,Sin lluvia (0 mm),5.0
0034015010,94343,BARRANCOMINAS,GUAINÍA,3.140558454,-69.69713423,0.0,0.0,3,1,0.06532663316582915,Sin lluvia (0 mm),5.0
0034015010,99624,SANTA ROSALÍA,VICHADA,4.968581012,-70.65997097,0.0,0.0,3,1,0.06532663316582915,Sin lluvia (0 mm),5.0
0034015010,99773,CUMARIBO,VICHADA,4.262454746,-69.52140484,0.0,0.0,3,1,0.06532663316582915,Sin lluvia (0 mm),5.0
0034035010,99001,PUERTO CARREÑO,VICHADA,5.836529669,-68.14122234,0.0,0.0,3,0,0.05319148936170213,Sin lluvia (0 mm),5.0
0035017020,50124,CABUYARO,META,4.315244759,-72.95268896,0.0,0.0,4,0,0.05027932960893855,Sin lluvia (0 mm),5.0
0035017020,50689,SAN MARTÍN,META,3.515860962,-72.65672742,0.0,0.0,4,0,0.05027932960893855,Sin lluvia (0 mm),5.0
0035020300,25281,FOSCA,CUNDINAMARCA,4.316280072,-73.95286784,0.0,0.0,5,1,0.06927710843373494,Sin lluvia (0 mm),5.0
0035020300,25339,GUTIÉRREZ,CUNDINAMARCA,4.166089563,-74.0246527,0.0,0.0,5,1,0.06927710843373494,Sin lluvia (0 mm),5.0
0035020300,25845,UNE,CUNDINAMARCA,4.244611163,-74.11187304,0.0,0.0,5,1,0.06927710843373494,Sin lluvia (0 mm),5.0
0035025060,25181,CHOACHÍ,CUNDINAMARCA,4.578183896,-73.95290054,0.0,0.0,4,1,1.0,Sin lluvia (0 mm),5.0
0035025080,25279,FÓMEQUE,CUNDINAMARCA,4.528568462,-73.79705267,0.6,0.3,4,1,0.08620689655172414,Muy ligera (< 5 mm),5.0
0035025110,50001,VILLAVICENCIO,META,4.09166877,-73.49291595,0.0,0.0,5,1,0.12359550561797752,Sin lluvia (0 mm),5.0
0035025110,50006,ACACÍAS,META,3.943383008,-73.57135162,0.0,0.0,5,1,0.12359550561797752,Sin lluvia (0 mm),5.0
0035025110,50150,CASTILLA LA NUEVA,META,3.805154089,-73.53886668,0.0,0.0,5,1,0.12359550561797752,Sin lluvia (0 mm),5.0
0035025110,50226,CUMARAL,META,4.232526389,-73.31477539,0.0,0.0,5,1,0.12359550561797752,Sin lluvia (0 mm),5.0
0035027001,25151,CÁQUEZA,CUNDINAMARCA,4.402259457,-73.94482435,0.0,0.0,6,0,0.05413105413105413,Sin lluvia (0 mm),5.0
0035027001,25594,QUETAME,CUNDINAMARCA,4.334589044,-73.85264561,0.0,0.0,6,0,0.05413105413105413,Sin lluvia (0 mm),5.0
0035027100,25178,CHIPAQUE,CUNDINAMARCA,4.463746629,-74.04605246,0.0,0.0,5,1,0.09876543209876543,Sin lluvia (0 mm),5.0
0035027100,25841,UBAQUE,CUNDINAMARCA,4.500754182,-73.97564545,0.0,0.0,5,1,0.09876543209876543,Sin lluvia (0 mm),5.0
0035027150,50318,GUAMAL,META,3.947775585,-73.95983864,0.0,0.0,3,1,0.1,Sin lluvia (0 mm),5.0
0035035110,50606,RESTREPO,META,4.204310977,-73.50226037,0.0,0.0,5,1,0.12437810945273632,Sin lluvia (0 mm),5.0
0035060210,25293,GACHALÁ,CUNDINAMARCA,4.65495513,-73.51055381,0.0,0.0,4,1,0.1318181818181818,Sin lluvia (0 mm),5.0
0035060210,25299,GAMA,CUNDINAMARCA,4.723573464,-73.60054441,0.0,0.0,4,1,0.1318181818181818,Sin lluvia (0 mm),5.0
0035060210,25372,JUNÍN,CUNDINAMARCA,4.705170789,-73.69247873,0.0,0.0,4,1,0.1318181818181818,Sin lluvia (0 mm),5.0
0035075030,15104,BOYACÁ,BOYACÁ,5.439856216,-73.38136994,0.0,0.0,2,1,0.06069364161849711,Sin lluvia (0 mm),5.0
0035075030,15189,CIÉNEGA,BOYACÁ,5.393059633,-73.28205772,0.0,0.0,2,1,0.06069364161849711,Sin lluvia (0 mm),5.0
0035075030,15367,JENESANO,BOYACÁ,5.38916272,-73.40087021,0.0,0.0,2,1,0.06069364161849711,Sin lluvia (0 mm),5.0
0035075030,15494,NUEVO COLÓN,BOYACÁ,5.354701485,-73.44873424,0.0,0.0,2,1,0.06069364161849711,Sin lluvia (0 mm),5.0
0035075030,15599,RAMIRIQUÍ,BOYACÁ,5.319934092,-73.310779,0.0,0.0,2,1,0.06069364161849711,Sin lluvia (0 mm),5.0
0035075040,15022,ALMEIDA,BOYACÁ,4.954825081,-73.38813425,0.0,0.0,4,1,0.09322033898305085,Sin lluvia (0 mm),5.0
0035075040,15299,GARAGOA,BOYACÁ,5.089466651,-73.31430272,0.0,0.0,4,1,0.09322033898305085,Sin lluvia (0 mm),5.0
0035075040,15425,MACANAL,BOYACÁ,4.980176495,-73.29413695,0.0,0.0,4,1,0.09322033898305085,Sin lluvia (0 mm),5.0
0035075070,15172,CHINAVITA,BOYACÁ,5.202971639,-73.34048074,0.0,0.0,4,1,0.10847457627118644,Sin lluvia (0 mm),5.0
0035075070,15804,TIBANÁ,BOYACÁ,5.301116649,-73.3932521,0.0,0.0,4,1,0.10847457627118644,Sin lluvia (0 mm),5.0
0035075080,15600,RÁQUIRA,BOYACÁ,5.496268621,-73.62894438,0.0,0.0,4,1,0.05517909002904162,Sin lluvia (0 mm),5.0
0035075080,15646,SAMACÁ,BOYACÁ,5.47053997,-73.5211756,0.0,0.0,4,1,0.05517909002904162,Sin lluvia (0 mm),5.0
0035075080,15861,VENTAQUEMADA,BOYACÁ,5.383385481,-73.52097942,0.0,0.0,4,1,0.05517909002904162,Sin lluvia (0 mm),5.0
0035075080,25317,GUACHETÁ,CUNDINAMARCA,5.387291542,-73.69328234,0.0,0.0,4,1,0.05517909002904162,Sin lluvia (0 mm),5.0
0035080050,15514,PÁEZ,BOYACÁ,5.095211035,-73.00435863,0.0,0.0,4,1,0.07920792079207921,Sin lluvia (0 mm),5.0
0035080050,85015,CHÁMEZA,CASANARE,5.228453404,-72.86496804,0.0,0.0,4,1,0.07920792079207921,Sin lluvia (0 mm),5.0
0035085060,15090,BERBEO,BOYACÁ,5.230936356,-73.12731944,0.0,0.0,4,0,0.04628736740597879,Sin lluvia (0 mm),5.0
0035085060,15621,RONDÓN,BOYACÁ,5.379947879,-73.19650995,0.0,0.0,4,0,0.04628736740597879,Sin lluvia (0 mm),5.0
0035085060,15660,SAN EDUARDO,BOYACÁ,5.234614686,-73.04914067,0.0,0.0,4,0,0.04628736740597879,Sin lluvia (0 mm),5.0
0035085060,15897,ZETAQUIRA,BOYACÁ,5.285635983,-73.16763091,0.0,0.0,4,0,0.04628736740597879,Sin lluvia (0 mm),5.0
0035085070,15236,CHIVOR,BOYACÁ,4.871181606,-73.36142379,0.0,0.0,4,1,0.058394160583941604,Sin lluvia (0 mm),5.0
0035085070,15667,SAN LUIS DE GACENO,BOYACÁ,4.798203543,-73.13397018,0.0,0.0,4,1,0.058394160583941604,Sin lluvia (0 mm),5.0
0035085070,15690,SANTA MARÍA,BOYACÁ,4.823002556,-73.25377506,0.0,0.0,4,1,0.058394160583941604,Sin lluvia (0 mm),5.0
0035085080,15380,LA CAPILLA,BOYACÁ,5.113167102,-73.45923708,0.0,0.0,4,1,0.05821917808219178,Sin lluvia (0 mm),5.0
0035085080,15511,PACHAVITA,BOYACÁ,5.148323877,-73.39951219,0.0,0.0,4,1,0.05821917808219178,Sin lluvia (0 mm),5.0
0035085080,15778,SUTATENZA,BOYACÁ,5.030711335,-73.41224401,0.0,0.0,4,1,0.05821917808219178,Sin lluvia (0 mm),5.0
0035085080,15798,TENZA,BOYACÁ,5.071413139,-73.42479699,0.0,0.0,4,1,0.05821917808219178,Sin lluvia (0 mm),5.0
0035085080,25807,TIBIRITA,CUNDINAMARCA,5.084102682,-73.51362546,0.0,0.0,4,1,0.05821917808219178,Sin lluvia (0 mm),5.0
0035087020,15135,CAMPOHERMOSO,BOYACÁ,5.006862536,-73.1446703,0.0,0.0,4,1,0.13385826771653545,Sin lluvia (0 mm),5.0
0035087020,15455,MIRAFLORES,BOYACÁ,5.150953297,-73.17896722,0.0,0.0,4,1,0.13385826771653545,Sin lluvia (0 mm),5.0
0035160000,15759,SOGAMOSO,BOYACÁ,5.646672053,-72.8709565,0.0,0.0,5,1,0.08484848484848485,Sin lluvia (0 mm),5.0
0035160010,15822,TOTA,BOYACÁ,5.501297215,-72.99633297,0.0,0.0,4,1,0.07450980392156863,Sin lluvia (0 mm),5.0
0035160020,15226,CUÍTIVA,BOYACÁ,5.58775449,-72.93953686,0.568,0.106,5,1,0.07600950118764846,Muy ligera (< 5 mm),5.0
0035160020,15362,IZA,BOYACÁ,5.617366016,-72.96986504,0.568,0.106,5,1,0.07600950118764846,Muy ligera (< 5 mm),5.0
0035185010,50573,PUERTO LÓPEZ,META,4.014298921,-72.64570499,0.0,0.0,4,0,0.047325102880658436,Sin lluvia (0 mm),5.0
0035197020,15518,PAJARITO,BOYACÁ,5.382328949,-72.69672674,0.1,0.1,4,1,0.08745247148288973,Muy ligera (< 5 mm),5.0
0035197030,85010,AGUAZUL,CASANARE,5.126121886,-72.54821017,0.0,0.0,2,0,0.02348993288590604,Sin lluvia (0 mm),5.0
0035197030,85279,RECETOR,CASANARE,5.263068507,-72.77081831,0.0,0.0,2,0,0.02348993288590604,Sin lluvia (0 mm),5.0
0035215020,85001,YOPAL,CASANARE,5.242744761,-72.25802857,0.0,0.0,4,1,0.06142506142506143,Sin lluvia (0 mm),5.0
0035215030,15464,MONGUA,BOYACÁ,5.710937981,-72.63402875,0.7000000000000001,0.2,4,1,0.08365019011406843,Muy ligera (< 5 mm),5.0
0035215030,15533,PAYA,BOYACÁ,5.621242742,-72.3692906,0.7000000000000001,0.2,4,1,0.08365019011406843,Muy ligera (< 5 mm),5.0
0035215030,15550,PISBA,BOYACÁ,5.768131812,-72.43993232,0.7000000000000001,0.2,4,1,0.08365019011406843,Muy ligera (< 5 mm),5.0
0035217060,85225,NUNCHÍA,CASANARE,5.529181235,-72.09251937,0.2,0.1,4,1,0.08969210174029452,Muy ligera (< 5 mm),5.0
0035217090,15377,LABRANZAGRANDE,BOYACÁ,5.541378132,-72.5903846,0.4,0.2,5,1,0.08649789029535865,Muy ligera (< 5 mm),5.0
0035225030,85230,OROCUÉ,CASANARE,4.915139133,-71.59873966,0.0,0.0,6,1,0.0992063492063492,Sin lluvia (0 mm),5.0
0035235010,15755,SOCOTÁ,BOYACÁ,5.906513772,-72.53646361,5.1,0.6,4,1,0.07317073170731707,Ligera (5–15 mm),6.2449337282192605
0035235050,85263,PORE,CASANARE,5.663194953,-71.92580806,5.800000000000001,1.5,5,1,0.09224318658280922,Ligera (5–15 mm),6.61704139963322
0035235050,85315,SÁCAMA,CASANARE,6.049906435,-72.21076163,5.800000000000001,1.5,5,1,0.09224318658280922,Ligera (5–15 mm),6.61704139963322
0035235050,85400,TÁMARA,CASANARE,5.878927424,-72.20067822,5.800000000000001,1.5,5,1,0.09224318658280922,Ligera (5–15 mm),6.61704139963322
0035237030,85325,SAN LUIS DE PALENQUE,CASANARE,5.274955665,-71.81749276,0.0,0.0,3,1,0.08146067415730338,Sin lluvia (0 mm),5.0
0035237030,85430,TRINIDAD,CASANARE,5.354527091,-71.25479519,0.0,0.0,3,1,0.08146067415730338,Sin lluvia (0 mm),5.0
0037015030,54743,SILOS,NORTE DE SANTANDER,7.180991879,-72.78617884,7.7,3.0,4,1,0.109375,Ligera (5–15 mm),7.5169572619144205
0037017040,54125,CÁCOTA,NORTE DE SANTANDER,7.270560088,-72.65212153,0.0,0.0,4,1,0.09497206703910614,Sin lluvia (0 mm),5.0
0037017040,54174,CHITAGÁ,NORTE DE SANTANDER,7.05161677,-72.52544746,0.0,0.0,4,1,0.09497206703910614,Sin lluvia (0 mm),5.0
0037017040,54377,LABATECA,NORTE DE SANTANDER,7.218372474,-72.48281514,0.0,0.0,4,1,0.09497206703910614,Sin lluvia (0 mm),5.0
0037045010,15223,CUBARÁ,BOYACÁ,6.886954878,-72.18156285,12.4,0.9,5,1,0.09333333333333334,Ligera (5–15 mm),9.314531442036696
0037045010,81065,ARAUQUITA,ARAUCA,6.799338394,-71.29827429,12.4,0.9,5,1,0.09333333333333334,Ligera (5–15 mm),9.314531442036696
0037045010,81300,FORTUL,ARAUCA,6.750907234,-71.79124241,12.4,0.9,5,1,0.09333333333333334,Ligera (5–15 mm),9.314531442036696
0037045010,81736,SARAVENA,ARAUCA,6.906941714,-71.85070757,12.4,0.9,5,1,0.09333333333333334,Ligera (5–15 mm),9.314531442036696
0042077020,18756,SOLANO,CAQUETÁ,0.096131862,-72.32036402,6.2,3.0,5,1,0.10469314079422383,Ligera (5–15 mm),6.818636124360854
0042077020,91430,LA VICTORIA,AMAZONAS,-0.125016381,-71.10487805,6.2,3.0,5,1,0.10469314079422383,Ligera (5–15 mm),6.818636124360854
0042077020,91460,MIRITÍ - PARANÁ,AMAZONAS,-0.687037553,-71.1855046,6.2,3.0,5,1,0.10469314079422383,Ligera (5–15 mm),6.818636124360854
0042077020,91669,PUERTO SANTANDER,AMAZONAS,-1.101032624,-71.93893358,6.2,3.0,5,1,0.10469314079422383,Ligera (5–15 mm),6.818636124360854
0042077020,94887,PANA PANA,GUAINÍA,1.981055294,-69.11440036,6.2,3.0,5,1,0.10469314079422383,Ligera (5–15 mm),6.818636124360854
0042077020,94888,MORICHAL,GUAINÍA,2.421444806,-69.84001585,6.2,3.0,5,1,0.10469314079422383,Ligera (5–15 mm),6.818636124360854
0042077020,97001,MITÚ,VAUPÉS,1.06148231,-70.46688401,6.2,3.0,5,1,0.10469314079422383,Ligera (5–15 mm),6.818636124360854
0042077020,97161,CARURÚ,VAUPÉS,1.052762314,-71.33093035,6.2,3.0,5,1,0.10469314079422383,Ligera (5–15 mm),6.818636124360854
0042077020,97511,PACOA,VAUPÉS,-0.00834364,-70.5433061,6.2,3.0,5,1,0.10469314079422383,Ligera (5–15 mm),6.818636124360854
